Team,Age,G,MP,WEIGHT,YEAR
Phoenix Suns,38,43,18,774,2019
Phoenix Suns,25,47,16.4,770.8,2019
Phoenix Suns,27,27,13.2,356.4,2019
Phoenix Suns,36,7,12.7,88.9,2019
Phoenix Suns,28,10,12.3,123,2019
Phoenix Suns,21,20,12.1,242,2019
Phoenix Suns,22,4,11.5,46,2019
Phoenix Suns,22,2,10,20,2019
Phoenix Suns,25,1,6,6,2019
Phoenix Suns,27,1,5,5,2019
Toronto Raptors,28,80,33.9,2712,2018
Toronto Raptors,31,78,32.2,2511.6,2018
Toronto Raptors,28,76,27.5,2090,2018
Toronto Raptors,25,77,22.4,1724.8,2018
Toronto Raptors,25,69,20.8,1435.2,2018
Toronto Raptors,23,81,20.7,1676.7,2018
Toronto Raptors,23,76,20,1520,2018
Toronto Raptors,20,74,20,1480,2018
Toronto Raptors,30,70,19.1,1337,2018
Toronto Raptors,22,82,18.6,1525.2,2018
Toronto Raptors,24,70,15.2,1064,2018
Toronto Raptors,27,14,9.9,138.6,2018
Toronto Raptors,25,49,8.5,416.5,2018
Toronto Raptors,24,15,8.4,126,2018
Toronto Raptors,22,1,5,5,2018
Toronto Raptors,25,14,3.8,53.2,2018
Toronto Raptors,22,2,3.5,7,2018
Toronto Raptors,23,2,3,6,2018
Boston Celtics,25,60,32.2,1932,2018
Boston Celtics,31,72,31.6,2275.2,2018
Boston Celtics,21,70,30.7,2149,2018
Boston Celtics,19,80,30.5,2440,2018
Boston Celtics,23,54,29.9,1614.6,2018
Boston Celtics,28,54,26.8,1447.2,2018
Boston Celtics,23,80,25.9,2072,2018
Boston Celtics,27,26,19.1,496.6,2018
Boston Celtics,31,81,18.3,1482.3,2018
Boston Celtics,23,73,15.8,1153.4,2018
Boston Celtics,25,63,14.9,938.7,2018
Boston Celtics,25,54,14.4,777.6,2018
Boston Celtics,24,48,10.9,523.2,2018
Boston Celtics,30,4,10,40,2018
Boston Celtics,23,13,8.8,114.4,2018
Boston Celtics,22,33,7.1,234.3,2018
Boston Celtics,25,18,5.9,106.2,2018
Boston Celtics,27,1,5,5,2018
Boston Celtics,30,2,3.5,7,2018
Boston Celtics,26,2,3,6,2018
Philadelphia 76ers,21,81,33.7,2729.7,2018
Philadelphia 76ers,27,80,31.7,2536,2018
Philadelphia 76ers,23,63,30.3,1908.9,2018
Philadelphia 76ers,33,70,30.2,2114,2018
Philadelphia 76ers,23,78,29.6,2308.8,2018
Philadelphia 76ers,31,28,26.3,736.4,2018
Philadelphia 76ers,30,23,24.1,554.3,2018
Philadelphia 76ers,29,39,23.7,924.3,2018
Philadelphia 76ers,25,76,22.4,1702.4,2018
Philadelphia 76ers,19,14,18.1,253.4,2018
Philadelphia 76ers,30,74,15.8,1169.2,2018
Philadelphia 76ers,24,48,15.5,744,2018
Philadelphia 76ers,22,52,15.5,806,2018
Philadelphia 76ers,30,33,15,495,2018
Philadelphia 76ers,24,38,13.7,520.6,2018
