Team,Age,MP,G,WEIGHT
Cleveland Cavaliers,25,16.9,24,405.6
Cleveland Cavaliers,26,16.4,21,344.4
Cleveland Cavaliers,37,15.7,16,251.2
Cleveland Cavaliers,22,15.7,36,565.2
Cleveland Cavaliers,24,14.4,10,144
Cleveland Cavaliers,25,13.4,16,214.4
Cleveland Cavaliers,35,10.3,26,267.8
Cleveland Cavaliers,21,8.8,6,52.8
Cleveland Cavaliers,30,1,1,1
Golden State Warriors,30,35.5,50,1775
Golden State Warriors,28,34.2,50,1710
Golden State Warriors,30,34.2,39,1333.8
Golden State Warriors,28,31.3,35,1095.5
Golden State Warriors,35,23.4,45,1053
Golden State Warriors,28,21.8,5,109
Golden State Warriors,22,21,50,1050
Golden State Warriors,31,19,47,893
Golden State Warriors,23,17.1,24,410.4
Golden State Warriors,33,15.4,39,600.6
Golden State Warriors,25,15,42,630
Golden State Warriors,26,14.5,41,594.5
Golden State Warriors,26,11.9,17,202.3
Golden State Warriors,24,11.1,45,499.5
Golden State Warriors,22,6.1,7,42.7
Golden State Warriors,21,4.3,23,98.9
Denver Nuggets,21,33.5,47,1574.5
Denver Nuggets,23,31.3,48,1502.4
Denver Nuggets,24,29.7,31,920.7
Denver Nuggets,33,25.5,41,1045.5
Denver Nuggets,28,24.6,10,246
Denver Nuggets,23,24.3,47,1142.1
Denver Nuggets,23,24.1,49,1180.9
Denver Nuggets,28,22.9,44,1007.6
Denver Nuggets,22,22.8,49,1117.2
Denver Nuggets,28,19.7,49,965.3
Denver Nuggets,23,18.9,47,888.3
Denver Nuggets,33,9.3,4,37.2
Denver Nuggets,22,4.1,19,77.9
Denver Nuggets,19,4,1,4
Denver Nuggets,23,3.7,13,48.1
Denver Nuggets,22,3.7,9,33.3
Denver Nuggets,25,3.1,7,21.7
Oklahoma City Thunder,28,36,49,1764
Oklahoma City Thunder,30,35.5,42,1491
Oklahoma City Thunder,25,34.1,48,1636.8
Oklahoma City Thunder,24,32.2,50,1610
Oklahoma City Thunder,25,28.5,49,1396.5
Oklahoma City Thunder,20,23.4,42,982.8
Oklahoma City Thunder,25,19.3,30,579
Oklahoma City Thunder,29,14.6,50,730
Oklahoma City Thunder,24,14.2,46,653.2
Oklahoma City Thunder,20,12.2,41,500.2
Oklahoma City Thunder,34,11.1,15,166.5
Oklahoma City Thunder,25,9.5,32,304
Oklahoma City Thunder,25,8.7,15,130.5
Oklahoma City Thunder,23,5.9,21,123.9
Oklahoma City Thunder,21,1,1,1
Portland Trail Blazers,28,35.3,50,1765
Portland Trail Blazers,27,34.1,50,1705
Portland Trail Blazers,28,29.7,51,1514.7
Portland Trail Blazers,24,27.4,51,1397.4
Portland Trail Blazers,30,24.2,50,1210
Portland Trail Blazers,25,21.7,31,672.7
Portland Trail Blazers,21,18.5,51,943.5
Portland Trail Blazers,28,17.7,45,796.5
